Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: A3 Sequest HT,# Peptides (by Search Engine): A3 Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Gene ID,Gene Symbol,WikiPathways,Ensembl Gene ID,Reactome Pathways,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (T02) / (T01),Abundance Ratio: (T03) / (T01),Abundance Ratio: (T06) / (T03),Abundance Ratio: (T05) / (T04),Abundance Ratio: (T06) / (T04),Abundance Ratio: (T07) / (T04),Abundance Ratio Adj. P-Value: (T02) / (T01),Abundance Ratio Adj. P-Value: (T03) / (T01),Abundance Ratio Adj. P-Value: (T06) / (T03),Abundance Ratio Adj. P-Value: (T05) / (T04),Abundance Ratio Adj. P-Value: (T06) / (T04),Abundance Ratio Adj. P-Value: (T07) / (T04),Abundances (Grouped): T01,Abundances (Grouped): T02,Abundances (Grouped): T03,Abundances (Grouped): T04,Abundances (Grouped): T05,Abundances (Grouped): T06,Abundances (Grouped): T07,Abundances (Grouped) CV [%]: T01,Abundances (Grouped) CV [%]: T02,Abundances (Grouped) CV [%]: T03,Abundances (Grouped) CV [%]: T04,Abundances (Grouped) CV [%]: T05,Abundances (Grouped) CV [%]: T06,Abundances (Grouped) CV [%]: T07,S01_T01,S02_T01,S03_T01,S04_T01,S05_T01,S06_T01,S07_T01,S08_T01,S09_T01,S010_T01,S01_T02,S02_T02,S03_T02,S04_T02,S05_T02,S06_T02,S07_T02,S08_T02,S09_T02,S010_T02,S01_T03,S02_T03,S03_T03,S04_T03,S05_T03,S06_T03,S07_T03,S08_T03,S09_T03,S010_T03,S01_T04,S02_T04,S03_T04,S04_T04,S05_T04,S06_T04,S07_T04,S08_T04,S09_T04,S010_T04,S01_T05,S02_T05,S03_T05,S04_T05,S05_T05,S06_T05,S07_T05,S08_T05,S09_T05,S010_T05,S01_T06,S02_T06,S03_T06,S04_T06,S05_T06,S06_T06,S07_T06,S08_T06,S09_T06,S010_T06,S01_T07,S03_T07,S04_T07,S05_T07,S06_T07,S07_T07,S08_T07,S09_T07,S010_T07,"Found in Sample: [S1] F1: Sample, T01","Found in Sample: [S10] F10: Sample, T01","Found in Sample: [S16] F16: Sample, T01","Found in Sample: [S23] F23: Sample, T01","Found in Sample: [S30] F30: Sample, T01","Found in Sample: [S37] F37: Sample, T01","Found in Sample: [S44] F44: Sample, T01","Found in Sample: [S51] F51: Sample, T01","Found in Sample: [S58] F58: Sample, T01","Found in Sample: [S65] F65: Sample, T01","Found in Sample: [S2] F2: Sample, T02","Found in Sample: [S11] F11: Sample, T02","Found in Sample: [S17] F17: Sample, T02","Found in Sample: [S24] F24: Sample, T02","Found in Sample: [S31] F31: Sample, T02","Found in Sample: [S38] F38: Sample, T02","Found in Sample: [S45] F45: Sample, T02","Found in Sample: [S52] F52: Sample, T02","Found in Sample: [S59] F59: Sample, T02","Found in Sample: [S66] F66: Sample, T02","Found in Sample: [S3] F3: Sample, T03","Found in Sample: [S4] F4: Sample, T03","Found in Sample: [S12] F12: Sample, T03","Found in Sample: [S18] F18: Sample, T03","Found in Sample: [S25] F25: Sample, T03","Found in Sample: [S32] F32: Sample, T03","Found in Sample: [S39] F39: Sample, T03","Found in Sample: [S46] F46: Sample, T03","Found in Sample: [S53] F53: Sample, T03","Found in Sample: [S60] F60: Sample, T03","Found in Sample: [S67] F67: Sample, T03","Found in Sample: [S5] F5: Sample, T04","Found in Sample: [S6] F6: Sample, T04","Found in Sample: [S13] F13: Sample, T04","Found in Sample: [S19] F19: Sample, T04","Found in Sample: [S26] F26: Sample, T04","Found in Sample: [S33] F33: Sample, T04","Found in Sample: [S40] F40: Sample, T04","Found in Sample: [S47] F47: Sample, T04","Found in Sample: [S54] F54: Sample, T04","Found in Sample: [S61] F61: Sample, T04","Found in Sample: [S68] F68: Sample, T04","Found in Sample: [S7] F7: Sample, T05","Found in Sample: [S20] F20: Sample, T05","Found in Sample: [S27] F27: Sample, T05","Found in Sample: [S34] F34: Sample, T05","Found in Sample: [S41] F41: Sample, T05","Found in Sample: [S48] F48: Sample, T05","Found in Sample: [S55] F55: Sample, T05","Found in Sample: [S62] F62: Sample, T05","Found in Sample: [S69] F69: Sample, T05","Found in Sample: [S8] F8: Sample, T06","Found in Sample: [S14] F14: Sample, T06","Found in Sample: [S21] F21: Sample, T06","Found in Sample: [S28] F28: Sample, T06","Found in Sample: [S35] F35: Sample, T06","Found in Sample: [S42] F42: Sample, T06","Found in Sample: [S49] F49: Sample, T06","Found in Sample: [S56] F56: Sample, T06","Found in Sample: [S63] F63: Sample, T06","Found in Sample: [S70] F70: Sample, T06","Found in Sample: [S9] F9: Sample, T07","Found in Sample: [S15] F15: Sample, T07","Found in Sample: [S22] F22: Sample, T07","Found in Sample: [S29] F29: Sample, T07","Found in Sample: [S36] F36: Sample, T07","Found in Sample: [S43] F43: Sample, T07","Found in Sample: [S50] F50: Sample, T07","Found in Sample: [S57] F57: Sample, T07","Found in Sample: [S64] F64: Sample, T07","Found in Sample: [S71] F71: Sample, T07",# Protein Groups
FALSE,High,Master Protein,NP_002334.2,lactotransferrin isoform 1 preproprotein [Homo sapiens],0,1087.445,94,126,23472,126,710,78.1,8.12,66054.44,126,protein metabolism;stress response;transport;developmental processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cytoplasmic organelle;other cell component,enzyme regulator activity;nucleic acid binding activity;other molecular function,Pf00405,4057,A8K9U8; B2MV13; B7Z4X2; E7EQH5; hsa:4057; NP_002334.2; O00756; P02788; Q16780; Q16785; Q16786; Q16789; Q5DSM0; Q8IU92; Q8IZH6; Q8TCD2; Q96KZ4; Q96KZ5; Q9H1Z3; Q9UCY5,LTF,LTF danger signal response pathway; Male infertility,ENSG00000012223,Neutrophil degranulation; Amyloid fiber formation; Mtb iron assimilation by chelation; Metal sequestration by antimicrobial proteins,7,0,0.964,1.103,0.809,0.583,0.316,0.589,1,1,1,1,1,1,69.3,66.8,76.5,195.9,114.2,61.9,115.5,90.54,85.05,59.35,81.11,45.6,52.92,61.63,1003860669,2623667423,7408888799,1413965103,1328586087,1685033291,1119181172,1239329160,1286743276,2122396664,1247607498,3775865540,7038265031,1254269086,861707959.5,2263026096,1272444297,1873374392,1236301329,1371333210,1242286943,3264733593,4982319413,755372235.2,1511556973,1483968524,1331728288,2811367339,1344826713,1619136242,9907153927,12426319407,11942012470,5284113301,3873256895,975900053.7,1219325145,1983804012,1715298244,2362264545,3241456173,1310673034,2807700494,1153637191,721575301.7,1996260753,2257484080,2573192886,3799257629,1375167722,868999724.4,5164417952,1246623974,737298813.8,1200305187,3301810043,1758146691,938034863.8,1092109296,1409237760,1686860821,6243956730,1169040307,2759921052,1888341344,3251530562,2860667363,1462551807,1305966279,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,XP_016884294.1,myosin-9 isoform X1 [Homo sapiens],0,1084.492,72,197,7634,184,1960,226.4,5.6,13544.53,197,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,"Pf00063, Pf01576, Pf02736",4627,A8K6E4; hsa:4627; O60805; P35579; Q60FE2; Q86T83; XP_016884294.1,MYH9,Primary focal segmental glomerulosclerosis (FSGS); VEGFA-VEGFR2 signaling; Nephrotic syndrome,ENSG00000100345,Translocation of SLC2A4 (GLUT4) to the plasma membrane; RHO GTPases activate PAKs; Regulation of actin dynamics for phagocytic cup formation; FCGR3A-mediated phagocytosis; Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; Signaling by ALK fusions and activated point mutants; RHO GTPases activate CIT; EPHA-mediated growth cone collapse; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate PKNs; RHO GTPases Activate ROCKs; CD163 mediating an anti-inflammatory response,16,13,1.129,0.762,1.262,0.837,0.801,0.945,1,1,1,1,1,1,97.3,109.8,74.1,116.8,97.9,93.6,110.4,45.35,45.85,63.81,55.62,63.87,49.28,36.65,596998943.2,816446975.4,248555049.1,807055274.4,394487679.4,244334951.7,368689293.8,1025875825,696955222.7,597931514.4,290075870.2,614173935.6,405756343.2,908205443.2,618761686.3,255379180.4,1265282582,736283353.6,851558664.8,735455080,239359027.8,455344171.4,100022272.7,608919644.1,397119527.6,172499982.9,1195214095,671848393.7,911071577.1,880999980.1,374030784.8,1322899616,233268225.9,658554452.4,1095723141,319154521.4,1124925855,717571422.7,1072874717,1442438422,301403756.4,1171577986,111318680.7,697399041.2,733789124,155396731.9,1234755213,669205291.5,600944636.8,406591065.9,291736725.4,804171323,146123229.6,585156489,735584807.6,489782790,889314073.8,453915255.4,565306601.8,584157510.5,390429544,152940386.3,663524833.3,832223215,426933279.8,757835962.6,855303460.7,693341951.7,661135861.7,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Peak Found,High,High,High,High,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_002449.2,mucin-5B precursor [Homo sapiens],0,924.109,25,124,14226,124,5762,596,6.64,31904.78,124,,extracellular matrix;plasma membrane;other membranes;ER/Golgi;other cell component,other molecular function,"Pf00094, Pf01826, Pf08742, Pf13330",727897,hsa:727897; NP_002449.2; O00447; O00573; O14985; O15494; O95291; O95451; Q14881; Q7M4S5; Q99552; Q9HC84; Q9UE28,MUC5B,Lung fibrosis,ENSG00000117983,Dectin-2 family; Termination of O-glycan biosynthesis; Defective GALNT3 causes HFTC; Defective C1GALT1C1 causes TNPS; Defective GALNT12 causes CRCS1,7,0,1.46,1.417,0.984,0.833,0.671,0.806,1,1,1,1,1,1,65.1,95,92.2,135.2,112.7,90.7,109,73.46,64.65,53.25,43.12,63.06,41.65,98.24,538556494.5,1762380979,365933604.6,957841185.8,380740916.2,246155789.6,297713025,1175296284,355878283.3,573837082.5,245682281.2,1225145054,269530338.3,912578671.3,1708428101,1018275648,511307064.6,855116704.3,388597854.3,334847109,1109196768,1188357036,347427150.4,1262056870,524649822.6,258220184.2,662270359.4,641588053,448582600.3,1067235929,331451167.9,1236606637,417332896.2,1116750637,969497944.5,1107487553,516864769.8,754548858,992960603,940777028.8,484772013.3,634856098.2,568369205.2,2318754430,784062535.1,1124094524,491070094.9,1013082522,544621581.9,905550106.7,235999986.5,1261184209,1024567120,564556021,300277820.4,335778937.8,627178732.4,682413340.6,660012751,845561942.3,454295644.1,292199658.5,3630243097,412089244.8,1353236939,342337241.2,822914502.6,737772534.9,779955261.4,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_003881.2,IgGFc-binding protein precursor [Homo sapiens],0,738.501,48,116,2585,116,5405,571.6,5.34,6407.29,116,,non-structural extracellular;extracellular matrix,,"Pf00094, Pf01826, Pf08742, Pf12714, Pf17517",8857,hsa:8857; NP_003881.2; O95784; Q9Y6R7,FCGBP,,ENSG00000281123,,0,0,1.145,1.165,0.858,1.206,1.035,0.962,1,1,1,1,1,1,95,108.8,110.7,91.7,110.7,94.9,88.2,66.65,110.96,86.34,51.72,66.35,107.69,117.5,83106625.41,132495310.7,322142784.9,210654863.2,60926383.13,206204325.3,107339980.2,129530077.6,39955367.71,46465009.91,53307177.47,75034555.59,233739031.8,175394086.3,122438520.9,883336408.8,148700428.4,122626959.9,292959115.8,92960980.76,81255816.83,118907574.4,260451211.8,677232970.9,59828622.38,110758949.4,266877223.5,137386923.5,195567784.2,98944192.31,81426419.61,80025937.71,218198707.8,113839598,129654020.9,176115416,287508326.1,110759412.8,179677651.8,51590897.85,71891872.69,102989128,303615933.2,96173452.48,86937246.8,378731207.6,146839873.4,138118228.3,137335851.4,91215996.89,46875840.24,110518422,849303469.1,125398932.2,101341125.3,557369403.5,351379189.1,110683416.3,164411893.5,49479643.83,101547307.5,496033327.6,118888256.4,93449278.72,1064485647,108463574.4,99226432.36,642719483.3,45656397.15,Peak Found,High,High,Peak Found,High,High,High,High,High,High,Peak Found,High,High,High,High,High,High,High,High,Peak Found,High,High,High,High,High,High,High,High,High,High,Peak Found,High,High,Peak Found,High,Peak Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Peak Found,High,High,High,High,High,Peak Found,High,High,High,High,High,High,High,High,High,Peak Found,1
FALSE,High,Master Protein,XP_016870146.1,annexin A1 isoform X1 [Homo sapiens],0,665.867,94,69,19122,69,357,40.1,7.78,56382.12,69,,,,,,XP_016870146.1,,,,,0,0,0.74,0.934,1.512,1.297,1.783,0.845,1,1,1,1,1,1,106.4,78.8,99.5,84.3,109.4,150.4,71.2,79.48,80.17,105.74,82.29,86.27,83.16,81.18,3789287942,3525222747,327669620.1,2546126744,1383623028,730729981.2,1129713977,4177323778,7911787295,2564151237,1325116134,1805961149,705370400.7,3088514432,1574161674,1981128246,1802608737,2619921159,8280833624,5191576114,2234768592,3153959758,219841123.6,4594081361,2387636478,525362653.5,2600534532,4433055201,12532858772,2068025047,883423312.2,1783675385,881295163.1,2024030849,1245505698,6319431671,2760940840,2874459900,7745347760,2664327999,1239331071,1880122907,595743775.4,3526368439,2092210667,1726251055,2624930982,3939638716,10454879034,4362529032,864759730.5,1585705234,1180622640,3716274481,4057740359,617173266.3,3505097599,7269963570,11003852583,4853077288,1633486601,624943943.8,4007110531,1246989203,1123585013,2190673685,4168381968,7580594705,1790279398,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_006142.1,lactoperoxidase isoform 1 preproprotein [Homo sapiens],0,563.051,83,86,14246,85,712,80.2,8.62,33476.47,86,other metabolic processes;stress response;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,other molecular function,Pf03098,4025,A5JUY4; E7EMJ3; hsa:4025; NP_006142.1; P22079; Q13408; Q3KNQ2,LPO,,ENSG00000167419,Events associated with phagocytolytic activity of PMN cells,1,1,1.151,1.264,0.902,0.983,0.802,0.727,1,1,1,1,1,1,83.3,95.8,105.3,118.4,116.3,94.9,86,36.37,58.64,55.28,42.21,38.57,54.44,74.95,860776711.2,1074258878,1633379333,520670413.2,1639398653,1637705264,1228410201,778705063.2,951837241.3,816676042.2,2012645295,3101816128,1369505911,711444764.8,2568408152,2455236448,988439120.5,815687131.3,824474185.9,640214248.8,2582525327,1277943217,1373849513,559017045.2,1509950500,2505057566,683774508,584259610.5,551230082.1,1198611040,2573258846,2476051739,1483436456,1437341560,1171298868,1699287665,1050219609,842604848.6,609507376,1305923911,1808083708,1963768357,1412395004,2003672260,1652320832,2417951192,992293361.9,1086960930,775648750.5,907333445.7,1830415648,2808253171,1082553517,1309491970,988417753.2,2302901076,1226704133,409104317.6,386501810.1,605061114.1,1106266511,830088882,673223186.3,4145768402,2660339318,1368898513,986415286.6,602901560,772837805.6,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_002635.2,polymeric immunoglobulin receptor precursor [Homo sapiens],0,552.134,63,71,11466,71,764,83.2,5.74,31977.36,71,transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cytoplasmic organelle;other cell component,other molecular function,Pf07686,5284,hsa:5284; NP_002635.2; P01833; Q68D81; Q8IZY7,PIGR,,ENSG00000162896,Neutrophil degranulation,1,0,0.667,0.957,0.997,0.948,1.363,1.144,1,1,1,1,1,1,121.9,81.3,116.7,85.3,80.9,116.3,97.6,56.82,59.22,36.27,50.41,44.83,33.34,25.38,2007217198,1874735185,4138045379,958658542.5,1249980010,1391019692,1085584822,2071062290,1354039131,811432094.9,1006841190,1635841566,578344219.4,838101273.2,1000337939,784035315.8,331924273.6,1103275765,2399636544,529158765.3,1446909716,2085167660,935406307,578069845.7,1860629637,754990838.3,1598782363,1153542511,1313081695,942365932.4,2513293796,909481272.8,557501919,826401728.7,960228752.5,694255563.7,1456338493,1735658492,2341986921,929641959.3,1825970832,2485544814,729140853.6,433450435.8,1023354939,1113938852,910229121.2,1255276485,822353759.1,465422368,2039236450,1668906177,1177130467,903618222.7,1383550968,1684673233,989411449.6,1612139032,1233820383,1237665336,1086288185,1197156864,793385414.5,1080074224,1154021140,815711431.1,1507659374,1111322680,846718835.6,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_003236.3,protein-glutamine gamma-glutamyltransferase E [Homo sapiens],0,551.52,82,72,10051,72,693,76.6,5.86,23936.25,72,cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes,plasma membrane;other membranes;other cell component,other molecular function,"Pf00868, Pf00927, Pf01841",,A8K5N6; B2RCR6; D3DVX1; hsa:7053; NP_003236.3; O95933; Q08188; Q32ML9; Q32MM0,TGM3,,ENSG00000125780,,0,0,0.66,1.299,1.043,1.12,1.952,0.94,1,1,1,1,1,1,108.7,71.8,141.2,75.5,84.5,147.3,70.9,64.15,70.5,76.91,69.24,55.82,64.88,58.88,2015413269,847989228.2,214850496.4,789878880.7,599538004.6,389587811.1,616185840.5,948971363.6,1110064190,408395454.4,616457916.8,265267757.6,209842098.7,1485031656,457258072.8,355526025.3,402939409.5,937018690.6,1444303726,464039049,954285476.9,527210494.6,246955279.5,1906121989,905947152.3,268143227.1,1158843728,950138149.1,2555059677,475056529.8,256418200.8,139035749.9,358234221.4,737110932.2,484084350.2,1044065310,1467333075,586657829.5,1410774849,413758960.2,542348048.9,272160941,331573768.5,722117126.3,487197964.7,392839465.6,1028615994,1202032135,1490053818,424614054.7,326594606.3,259353286.4,378006089.3,1214020423,1073223756,215950108.8,1463013602,1292184525,1884397305,832143530.9,425225341.6,237516894.9,1062933358,360705275.6,486995545.9,781947590.7,1011219364,1236695817,375828013.5,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_000468.1,serum albumin preproprotein [Homo sapiens],0,525.395,90,77,6776,77,609,69.3,6.28,13818.72,77,stress response;other biological processes,non-structural extracellular;ER/Golgi;other cell component,nucleic acid binding activity;other molecular function,Pf00273,213,E7ESS9; hsa:213; NP_000468.1; O95574; P02768; P04277; Q13140; Q645G4; Q68DN5; Q6UXK4; Q86YG0; Q8IUK7; Q9P157; Q9P1I7; Q9UHS3; Q9UJZ0,ALB,Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Complement system; VEGFA-VEGFR2 signaling,ENSG00000163631,Aspirin ADME; Scavenging of heme from plasma; Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Cytoprotection by HMOX1; Ciprofloxacin ADME; Recycling of bile acids and salts; Prednisone ADME; Heme degradation; HDL remodeling; Heme biosynthesis,17,0,0.894,0.675,1.19,0.624,0.825,0.86,1,1,1,1,1,1,120.8,108,81.6,117.7,73.5,97.1,101.2,44.9,41.94,54.23,37.7,43.4,39.4,36.1,620995704.6,917512757.1,766605500.3,280562222,955032158.4,695798281.4,1045267097,703440329.3,337037810,204672830.5,187255070.5,701429392.9,842576309.6,244939910.4,698294386.3,655523165.1,648318090.6,456112362.4,602844270,294439739,412556367.4,597435254.9,1050607590,333842228.4,440562421.4,146756798.3,472541576.1,591732268.8,563058054.9,166156955,697761657,681363550.1,445467793.6,814339789,611818563,627742913.3,367172831.7,1082608300,997716675.4,251329189.3,357107565.8,748164082.9,90956968.26,516107635.6,540744373.7,596802143.7,425343957.8,501820278.5,356249539.1,169777312.6,814863518,792730251,215904883.9,714739386.3,583380502.3,357878912.7,354005262.2,542125877.5,804746904.2,366898141.6,964775024.2,816749895.6,509289639,652414309.4,569354716.3,536785543,524545608.3,603060005.3,150684545.1,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
FALSE,High,Master Protein,NP_000241.1,myeloperoxidase precursor [Homo sapiens],0,523.93,65,81,11062,72,745,83.8,8.97,26664.94,81,cell organization and biogenesis;other metabolic processes;stress response;other biological processes,non-structural extracellular;nucleus;other cytoplasmic organelle;other cell component,other molecular function,Pf03098,4353,A1L4B8; hsa:4353; NP_000241.1; P05164; Q14862; Q4PJH5; Q9UCL7,MPO,Selenium micronutrient network; Vitamin B12 metabolism; Folate metabolism; Benzene metabolism; Disturbed pathways in Duchenne Muscular Dystrophy,ENSG00000005381,Neutrophil degranulation; Events associated with phagocytolytic activity of PMN cells,7,8,1.604,1.094,0.853,0.6,0.388,0.681,1,1,1,1,1,1,69.2,111,75.7,166.4,99.8,64.5,113.4,85.94,62.43,82.56,42.4,55.74,64.1,60.06,546263830.4,2173815362,541067890,1491023179,245084556,123998062,156236287,2649055010,943643949.2,1324530913,223030800.7,1128578579,1175182880,2481219149,524591834.6,339490686.5,713956093,1513730854,1215293662,1612416600,285824621,1229745395,241882897.4,1125244001,512489140.3,169354547.2,2472858238,1602689039,785574037.2,947451875,1075320076,1773289208,1096716532,2816611788,1306711711,750602809,2205238654,2236625049,1727256071,2110146544,671464677.3,627101525.8,840927666.3,1035769074,432782197.6,559140527.9,2460416243,1586845366,1654543639,1237370227,195010749.7,1221554137,255205035.3,488887451.4,715631447.3,536829276.5,1905338846,1182487889,976665365.8,1048759599,558973597.7,1199129930,1840694007,232714343.6,481351496.5,1985058380,2602078631,1154680304,998502360.2,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1
