Biomarker,Pattern,contrast,estimate,std.error,statistic,adj.p.value
AA,Fatigue Response,Measure3 - Measure4,-0.8154882535546493,0.2387291762498594,-3.4159555457986444,0.01969668494484511
AA,Next Day Recovery,Measure4 - Measure6,1.1840983156513865,0.23872917624985934,4.9600067082378,1.4870130965327633e-4
AA,Next Day Recovery,Measure4 - Measure7,0.7555980287353892,0.2463084335252941,3.0676904477888884,0.04956311430069871
Cortisol,Next Day Recovery,Measure4 - Measure7,1.1094336931231386,0.220928559065431,5.021685280600435,1.1931149793198426e-4
IL6,Fatigue Response,Measure3 - Measure4,-0.7489909771028866,0.2440499348896826,-3.0690070761192847,0.04941630898300853
IL6,Next Day Recovery,Measure4 - Measure6,0.784157688518135,0.24404993488968252,3.213103453080602,0.03408661391155332
IL6,Next Day Recovery,Measure4 - Measure7,0.8775785121653109,0.25178128844171604,3.4854794714757307,0.016202955838710342
IgA,Fatigue Response,Measure3 - Measure4,-0.47953858904483465,0.10775605200248589,-4.450224188185476,8.32320867832026e-4
IgA,Immediate Recovery,Measure4 - Measure5,0.5400654628387705,0.10775605200248592,5.011926966536518,1.242457970153099e-4
IgA,Next Day Recovery,Measure4 - Measure6,0.4473454481445777,0.1077560520024859,4.151464718977061,0.0021885707362476747
IgA,Next Day Recovery,Measure4 - Measure7,0.6773063886311047,0.1111613824139069,6.093000769900195,2.5927700932903974e-6
Testosterone,Immediate Recovery,Measure4 - Measure5,0.3623515851912294,0.10432779729564896,3.473202680244275,0.016787149710243532
Testosterone,Next Day Recovery,Measure4 - Measure6,0.4285192546236849,0.10432779729564898,4.1074312477750015,0.0025157995326440252
Testosterone,Next Day Recovery,Measure4 - Measure7,0.4560031586632949,0.10764811804500896,4.2360532347870175,0.0016696407376435296
UA,Fatigue Response,Measure3 - Measure4,-0.6334762763319186,0.09635845958218055,-6.574163587491249,4.471177388332137e-7
UA,Next Day Recovery,Measure4 - Measure6,0.35943859759249225,0.09635845958218059,3.7302235750867343,0.007988195981048163
UA,Next Day Recovery,Measure4 - Measure7,0.6668676885981085,0.09941898065462318,6.70764962793951,2.720903627961846e-7
