Measure,pct_correct,n_subjects,n_fatigued,ci_low,ci_high,Panel,Design
1,0.2,10,2,0.03542694374736635,0.5578185757214501,Targeted,Nested
2,0.2,10,2,0.03542694374736635,0.5578185757214501,Targeted,Nested
3,0.1,10,1,0.005242301569677728,0.4588460161566561,Targeted,Nested
4,0.6,10,6,0.27366968961231825,0.8630694365299644,Targeted,Nested
5,0.5,10,5,0.23659309051256402,0.763406909487436,Targeted,Nested
6,0.4,10,4,0.13693056347003565,0.7263303103876817,Targeted,Nested
7,0.1111111111111111,9,1,0.005827557400603513,0.4932979841939943,Targeted,Nested
1,0.3,10,3,0.0809478242099945,0.6463292764888311,Targeted,Fixed Panel
2,0.3,10,3,0.0809478242099945,0.6463292764888311,Targeted,Fixed Panel
3,0.3,10,3,0.0809478242099945,0.6463292764888311,Targeted,Fixed Panel
4,0.6,10,6,0.27366968961231825,0.8630694365299644,Targeted,Fixed Panel
5,0.4,10,4,0.13693056347003565,0.7263303103876817,Targeted,Fixed Panel
6,0.5,10,5,0.23659309051256402,0.763406909487436,Targeted,Fixed Panel
7,0.1111111111111111,9,1,0.005827557400603513,0.4932979841939943,Targeted,Fixed Panel
1,0.2,10,2,0.03542694374736635,0.5578185757214501,Protein,Nested
2,0.3,10,3,0.0809478242099945,0.6463292764888311,Protein,Nested
3,0.3,10,3,0.0809478242099945,0.6463292764888311,Protein,Nested
4,0.8,10,8,0.4421814242785499,0.9645730562526337,Protein,Nested
5,0.2,10,2,0.03542694374736635,0.5578185757214501,Protein,Nested
6,0.4,10,4,0.13693056347003565,0.7263303103876817,Protein,Nested
7,0.2222222222222222,9,2,0.03946538141903501,0.5980906538894014,Protein,Nested
1,0.1,10,1,0.005242301569677728,0.4588460161566561,Protein,Fixed Panel
2,0.3,10,3,0.0809478242099945,0.6463292764888311,Protein,Fixed Panel
3,0.2,10,2,0.03542694374736635,0.5578185757214501,Protein,Fixed Panel
4,0.8,10,8,0.4421814242785499,0.9645730562526337,Protein,Fixed Panel
5,0.1,10,1,0.005242301569677728,0.4588460161566561,Protein,Fixed Panel
6,0.4,10,4,0.13693056347003565,0.7263303103876817,Protein,Fixed Panel
7,0.2222222222222222,9,2,0.03946538141903501,0.5980906538894014,Protein,Fixed Panel
1,0,10,0,0,0.34453721830692247,Combined,Nested
2,0.1,10,1,0.005242301569677728,0.4588460161566561,Combined,Nested
3,0.1,10,1,0.005242301569677728,0.4588460161566561,Combined,Nested
4,0.9,10,9,0.541153983843344,0.9947576984303224,Combined,Nested
5,0.2,10,2,0.03542694374736635,0.5578185757214501,Combined,Nested
6,0.1,10,1,0.005242301569677728,0.4588460161566561,Combined,Nested
7,0.3333333333333333,9,3,0.09041825651928474,0.6908238976957636,Combined,Nested
1,0,10,0,0,0.34453721830692247,Combined,Fixed Panel
2,0,10,0,0,0.34453721830692247,Combined,Fixed Panel
3,0.1,10,1,0.005242301569677728,0.4588460161566561,Combined,Fixed Panel
4,0.9,10,9,0.541153983843344,0.9947576984303224,Combined,Fixed Panel
5,0.1,10,1,0.005242301569677728,0.4588460161566561,Combined,Fixed Panel
6,0.2,10,2,0.03542694374736635,0.5578185757214501,Combined,Fixed Panel
7,0,9,0,0,0.37119026341676886,Combined,Fixed Panel
