Accession,Gene Symbol,In_Primary_BHSig,In_Alt75_BHSig,In_Alt100_BHSig,Est_m4_Primary,Est_m4_Alt75,Est_m4_Alt100,N_Methods_In_BHSig
NP_000168.1,GSN,TRUE,TRUE,TRUE,0.878,0.878,0.878,3
NP_001091046.1,ANG,TRUE,TRUE,TRUE,0.863,0.863,0.863,3
NP_001139280.1,NA,TRUE,TRUE,TRUE,0.752,0.752,0.752,3
NP_002829.3,PTPRC,TRUE,TRUE,TRUE,0.967,0.967,0.967,3
NP_005959.2,HNRNPM,TRUE,TRUE,TRUE,1.897,1.654,1.481,3
NP_958850.1,C1S,TRUE,TRUE,TRUE,2.546,2.384,2.269,3
XP_016873208.1,RHOG,TRUE,TRUE,TRUE,1.667,1.545,1.459,3
NP_000241.1,MPO,TRUE,TRUE,FALSE,0.835,0.835,NA,2
NP_001691.1,AZU1,TRUE,TRUE,FALSE,1.324,1.324,NA,2
NP_775109.2,KRT6C,TRUE,TRUE,FALSE,-1.695,-1.654,NA,2
NP_004336.3,CAMP,TRUE,FALSE,FALSE,0.945,NA,NA,1
NP_060037.3,NA,TRUE,FALSE,FALSE,0.848,NA,NA,1
XP_016882334.1,NUCB1,TRUE,FALSE,FALSE,1.281,NA,NA,1
