Biomarker,Pattern,contrast,estimate,SE,p.value
IgA,Fatigue Response,Measure3 - Measure4,-0.47953858904483126,0.10775605200248589,6.482659021525006e-4
IgA,Immediate Recovery,Measure4 - Measure5,0.5400654628387715,0.10775605200248592,8.57211737378405e-5
IgA,Next Day Recovery,Measure4 - Measure6,0.44734544814457877,0.1077560520024859,0.0017992447027567193
IgA,Next Day Recovery,Measure4 - Measure7,0.6772964535800079,0.1111613824139069,1.321904875895008e-6
UA,Fatigue Response,Measure3 - Measure4,-0.6334762763319178,0.09635845958218055,1.9348074875580323e-7
UA,Next Day Recovery,Measure4 - Measure6,0.3594385975924925,0.09635845958218059,0.007000696289213404
UA,Next Day Recovery,Measure4 - Measure7,0.6668659176074727,0.09941898065462318,1.1227682572556574e-7
ANG,Fatigue Response,Measure3 - Measure4,-0.8630016111850075,0.16186973043958547,2.5817186611654108e-5
ANG,Immediate Recovery,Measure4 - Measure5,0.5538582060490795,0.16186973043958539,0.017650038521982547
ANG,Next Day Recovery,Measure4 - Measure6,0.7425949738295542,0.16186973043958539,3.9985696079047894e-4
C1S,Fatigue Response,Measure3 - Measure4,-2.5462760179553228,0.538264303360364,2.3984209051675087e-4
C1S,Immediate Recovery,Measure4 - Measure5,3.826971450779615,0.5382643033603641,2.1941268468772535e-8
C1S,Next Day Recovery,Measure4 - Measure6,2.188140644565034,0.5382643033603641,0.0023961015529625485
C1S,Next Day Recovery,Measure4 - Measure7,1.8178812990897018,0.5552846087401356,0.026810269576190593
